.data
GAME_OVER_MUSIC: .word 85,
48,173,
52,173,
55,173,
52,173,
60,173,
64,173,
67,1561,
48,520,
50,520,
52,520,
53,520,
48,346,
50,346,
48,173,
55,173,
53,520,
52,173,
50,173,
52,520,
43,173,
45,173,
47,173,
48,173,
50,173,
52,173,
53,173,
60,173,
59,520,
58,173,
55,173,
58,347,
48,173,
50,173,
52,173,
53,173,
55,173,
57,173,
59,173,
52,86,
53,86,
52,86,
53,86,
55,520,
53,173,
55,173,
57,347,
55,173,
57,173,
59,347,
60,173,
62,173,
64,173,
65,1388,
52,86,
53,86,
55,86,
57,86,
55,86,
57,86,
59,86,
57,86,
55,86,
57,86,
59,86,
60,86,
62,86,
64,86,
65,86,
67,86,
62,520,
64,520,
60,520,
62,520,
59,173,
60,173,
62,173,
60,173,
64,520,
65,520,
62,520,
64,520,
65,173,
67,173,
69,173,
71,173
